G_ID,SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES
1,Abutilon theophrasti,ABUTHE,Medik.,0,,VELVETLEAF,Malvaceae,,UPL,forb,AN,advent,ABTH,,DI,adventive,UPL,FACU,FACU,
2,Acalypha deamii,ACADEA,(Weath.) Ahles.,0,syn,DEAM'S TWO-SEEDED MERCURY,Euphorbiaceae,1,FAC,forb,AN,partial,ACDE4,,DI,native,,,,
3,Acalypha ostryifolia,ACAOST,Riddell,0,,HORNBEAM THREE-S. MERCURY,Euphorbiaceae,,FACU,forb,AN,advent,ACOS,,DI,adventive,,,,
4,Acalypha rhomboidea,ACARHO,Raf.,0,syn,RHOMBIC THREE-S. MERCURY,Euphorbiaceae,,FACU,forb,AN,partial,ACRH,,DI,native,FACU,FACU,FACU,
5,Acalypha sp.,ACALYP,L.,,,COPPERLEAF,Euphorbiaceae,,ND,forb,AN,ND,ACALY,,DI,,,,,
6,Acalypha virginica,ACAVIR,L.,0,syn,VIRGINIA THREE-S. MERCURY,Euphorbiaceae,,FACU,forb,AN,partial,ACVI,,DI,native,FACU,FACU,FACU,
7,Acer negundo,ACENEG,L.,3,,BOX ELDER,Aceraceae,2,FAC,tree,W,tree,ACNE2,,DI,native,FAC,FAC,FAC,
8,Acer palmatum,ACEPAL,Thunb.,0,,JAPANESE MAPLE,Aceraceae,,FACU,tree,W,advent,ACPA2,,DI,adventive,,,,
9,Acer pensylvanicum,ACEPEN,L.,10,,STRIPED MAPLE,Aceraceae,,FACU,tree,W,tree,ACPE,E,DI,native,FACU,FACU,FACU,
10,Acer platanoides,ACEPLA,L.,0,,NORWAY MAPLE,Aceraceae,,UPL,tree,W,advent,ACPL,,DI,adventive,UPL,UPL,UPL,
11,Acer rubrum,ACERUB,L.,2,,RED MAPLE,Aceraceae,3,FAC,tree,W,tree,ACRU,,DI,native,FAC,FAC,FAC,
12,Acer saccharinum,ACESAC,L.,3,,SILVER MAPLE,Aceraceae,,FACW,tree,W,tree,ACSA2,,DI,native,FACW,FACW,FACW,
13,Acer saccharum,ACESAR,Marshall,5,,SUGAR MAPLE,Aceraceae,4,FACU,tree,W,tree,ACSA3,,DI,native,FACU,FACU,FACU,
14,Acer sp.,ACER,L.,,,MAPLE,Aceraceae,,ND,tree,W,tree,ACER,,DI,,,,,
15,Acer spicatum,ACESPI,Lam.,8,,MOUNTAIN MAPLE,Aceraceae,,FACU,tree,W,tree,ACSP2,,DI,native,FACU,FACU,FACU,
16,Acer tataricum,ACETAT,L.,0,,TATARIAN MAPLE,Aceraceae,,FACU,tree,W,advent,ACTA80,,DI,adventive,,,,
3141,Acer x freemanii,ACEFRE,E.Murray,3,,Freeman maple,Aceraceae,,FACW,tree,W,tree,ACFR,,DI,native,FACW,FACW,FACW,Added to table 7/3/14
17,Achillea millefolium,ACHMIL,DC.,1,,YARROW,Asteraceae,5,FACU,forb,PE,full,ACMI2,,DI,native,FACU,FACU,FACU,
18,Aconitum noveboracense,ACONOV,A. Gray,10,syn,NORTHERN MONKSHOOD,Ranunculaceae,,UPL,forb,PE,shade,ACNO2,E,DI,native,,,,
19,Aconitum sp.,ACONIT,L.,10,,MONKSHOOD,Ranunculaceae,,ND,forb,PE,shade,ACONI,,DI,,,,,
20,Aconitum uncinatum,ACOUNC,L.,10,,SOUTHERN MONKSHOOD,Ranunculaceae,,FAC,forb,PE,shade,ACUN,E,DI,native,FAC,,,
21,Acorus americanus,ACOAME,(Raf.) Raf.,6,,AMERICAN SWEET-FLAG,Acoraceae,,OBL,forb,PE,full,ACAM,P,DI,native,OBL,OBL,OBL,
22,Acorus calamus,ACOCAL,L.,0,,SWEET-FLAG,Acoraceae,,OBL,forb,PE,advent,ACAM,,DI,adventive,OBL,OBL,OBL,
23,Actaea alba,ACTALB,(L.) Mill.,7,syn,WHITE BANEBERRY,Ranunculaceae,,UPL,forb,PE,shade,ACPA,,DI,native,UPL,FACU,UPL,syn. Actaea pachypoda
24,Actaea rubra,ACTRUB,(Aiton) Willd.,7,,RED BANEBERRY,Ranunculaceae,,UPL,forb,PE,shade,ACRU2,T,DI,native,UPL,FACU,FACU,
25,Actaea sp.,ACTAEA,L.,,,BANEBERRY,Ranunculaceae,,UPL,forb,PE,shade,ACTAE,,DI,,,,,
26,Actinidia arguta,ACTARG,(Siebold & Zucc.) Planch. ex Miq.,0,,TARA VINE,Actinidiaceae,,UPL,vine,PE,advent,,,DI,adventive,,,,
27,Adiantum pedatum,ADIPED,L.,6,,MAIDENHAIR FERN,Pteridaceae,,FAC,fern,PE,shade,ADPE,,SVP,native,FAC,FACU,FACU,
28,Adlumia fungosa,ADLFUN,(Aiton) Greene ex B.S.P.,8,,MOUNTAIN-FRINGE,Fumariaceae,,UPL,forb,BI,shade,ADFU,T,DI,native,,,,
29,Aegilops cylindrica,AEGCYL,Host,0,,JOINTED GOAT-GRASS,Poaceae,,UPL,grass,AN,advent,AECY,,MO,adventive,,,,
30,Aegopodium podagraria,AEGPOD,L.,0,,GOUTWEED,Apiaceae,,FACU,forb,PE,advent,AEPO,,DI,adventive,FACU,FAC,FAC,
31,Aesculus flava,AESFLA,Aiton,7,syn,YELLOW BUCKEYE,Hippocastanaceae,6,UPL,tree,W,tree,AEFL,,DI,native,FACU,FACU,FACU,
32,Aesculus glabra,AESGLA,Willd.,6,,OHIO BUCKEYE,Hippocastanaceae,7,FACU,tree,W,tree,AEGL,,DI,native,FACU,FAC,FAC,
33,Aesculus hippocastanum,AESHIP,L.,0,,HORSE-CHESTNUT,Hippocastanaceae,,UPL,tree,W,advent,AEHI,,DI,adventive,,,,
34,Aesculus sp.,AESCUL,L.,,,BUCKEYE,Hippocastanaceae,,ND,tree,W,tree,AESCU,,DI,,,,,
35,Aethusa cynapium,AETCYN,L.,0,,FOOL'S-PARSLEY,Apiaceae,,FACU,forb,AN,advent,AECY2,,DI,adventive,,,,
36,Agalinis auriculata,AGOAUR,(Michx.) S.F. Blake,8,syn,EAR-LEAVED FOXGLOVE,Scrophulariaceae,,UPL,forb,AN,full,AGAU3,E,DI,native,,,,
37,Agalinis gattingeri,AGAGAT,(Small) Small ex Britton,8,syn,GATTINGER'S FOXGLOVE,Scophulariaceae,,FACW,forb,AN,full,AGGA,T,DI,native,,,,
38,Agalinis purpurea (L.) Pennell var. parviflora,AGAPUPA,(Benth.) B. Boivin,10,syn,SMALL PURPLE FOXGLOVE,Scophulariaceae,,FACW,forb,AN,full,AGPUP,E,DI,native,,,,
39,Agalinis purpurea var. purpurea,AGAPUPU,(L.) Pennell,6,syn,LARGE PURPLE FOXGLOVE,Scophulariaceae,,FACW,forb,AN,full,AGPUC,,DI,native,,,,
40,Agalinis skinneriana,AGASKI,(A.W. Wood) Britton,10,syn,SKINNER'S FOXGLOVE,Scophulariaceae,8,FACW,forb,AN,full,AGSK,E,DI,native,,,FACU,
41,Agalinis sp.,AGALIN,Raf.,,,FALSE FOXGLOVE,Scrophulariaceae,,ND,forb,AN,full,AGALI,,DI,,,,,
42,Agalinis tenuifolia,AGATEN,(M. Vahl) Raf.,4,syn,SLENDER FOXGLOVE,Scophulariaceae,9,FAC,forb,AN,full,AGTE3,,DI,native,FAC,FACW,FACW,
43,Agastache nepetoides,AGANEP,(L.) Kuntze,4,,YELLOW GIANT-HYSSOP,Lamiaceae,,FACU,forb,PE,shade,AGNE2,,DI,native,FACU,FACU,FACU,
44,Agastache scrophulariifolia,AGASCR,(Willd.) Kuntze,4,,PURPLE GIANT-HYSSOP,Lamiaceae,,UPL,forb,PE,shade,AGSC,,DI,native,,,,
45,Agastache sp.,AGASTA,Clayton ex Gronov.,,,GIANT-HYSSOP,Lamiaceae,,ND,forb,PE,shade,AGAST,,DI,,,,,
46,Agrimonia gryposepala,AGRGRY,Wallr.,3,,TALL AGRIMONY,Rosaceae,,FACU,forb,PE,partial,AGGR2,,DI,native,FACU,FACU,FACU,
47,Agrimonia parviflora,AGRPAR,Aiton,2,,SMALL-FLOWERED AGRIMONY,Rosaceae,,FAC,forb,PE,shade,AGPA6,,DI,native,FACW,FACW,FAC,
48,Agrimonia pubescens,AGRPUB,Wallr.,5,,DOWNY AGRIMONY,Rosaceae,,UPL,forb,PE,shade,AGPU,,DI,native,,,,
49,Agrimonia rostellata,AGRROS,Wallr.,5,,WOODLAND AGRIMONY,Rosaceae,,FACU,forb,PE,shade,AGRO3,,DI,native,FACU,FACU,FACU,
